Category,Error,PlainEnglishMeaning,HowToFix,CommonCauses,TodoChecklist
Types,Binary operator cannot be applied,The operator doesn't work with the types you supplied.,Use compatible types or convert them.,String plus Int|Custom type missing operator|Optional operands|Wrong generic type|API misuse,Inspect both operand types|Convert values|Unwrap optionals|Implement operator if needed|Read operator documentation
Types,Type of expression is ambiguous without more context,Swift can't determine the correct type.,Provide more type information.,Complex chained expressions|Generic inference failed|Overloaded functions|Closure ambiguity|Missing annotation,Split the expression|Add explicit types|Simplify generics|Specify closure types|Build again
Types,Generic parameter could not be inferred,Swift doesn't know what generic type to use.,Specify the generic type explicitly or provide more context.,Empty collections|Overloaded APIs|Complex closures|Missing annotations|Incorrect generic constraints,Add explicit type annotation|Specify generic argument|Simplify the call|Inspect API docs|Reduce expression complexity
Functions,Missing return in a function expected to return 'X',A function promises to return a value but doesn't on every path.,Return the required value on all execution paths.,Forgot return|Missing else branch|Early exit|Incomplete implementation|Logic oversight,Check every branch|Add return statements|Use compiler fix-it|Simplify logic|Write tests
Functions,Missing argument for parameter,A required function parameter wasn't supplied.,Pass all required arguments.,Forgot parameter|API changed|Wrong overload|Incorrect autocomplete|Misread documentation,Read the function signature|Supply missing arguments|Check labels|Use autocomplete|Verify overload
Functions,Extra argument in call,You passed more arguments than the function accepts.,Remove the extra argument or call a different overload.,API changed|Wrong overload|Typo|Copied old example|Incorrect labels,Inspect the function definition|Check API version|Use autocomplete|Remove extras|Verify overload selection
Functions,Incorrect argument label in call,Swift uses named parameters and one or more labels don't match.,Use the labels defined by the function.,Typo|API update|Wrong overload|Copied outdated code|Autocomplete mistake,Check the declaration|Use autocomplete|Read Quick Help|Update labels|Recompile
Functions,Cannot call value of non-function type,You're trying to use parentheses on something that isn't callable.,Call a function instead or remove the parentheses.,Variable named like a function|Accidental overwrite|Property mistaken for method|Type confusion|API misuse,Inspect the symbol's type|Rename conflicting variables|Check autocomplete|Read declaration|Correct the call
Optionals,Value of optional type must be unwrapped,"The value might be nil, so Swift requires you to handle that possibility.","Use optional binding, optional chaining, nil-coalescing, or force unwrap if you're certain it's non-nil.",Forgot if let|Forgot guard let|Optional return type|Dictionary lookup|IBOutlet,Determine whether nil is possible|Use if let or guard let|Use ?? if appropriate|Avoid force unwraps unless certain|Trace where the optional comes from
Optionals,Unexpectedly found nil while unwrapping an Optional value,Your app crashed because a force unwrap (!) encountered nil.,Remove the force unwrap or ensure the value is initialized.,IBOutlet disconnected|Dictionary lookup failed|Object not initialized|Weak reference became nil|API returned nil,Find the force unwrap|Replace with safe unwrapping|Check initialization|Inspect Interface Builder connections|Test edge casesClasses & Structs
Classes & Structs,Return from initializer without initializing all stored properties,An initializer finished before every stored property had a value.,Initialize every stored property before returning.,Forgot one property|Early return|Conditional initialization|Refactoring|Superclass init confusion,List every stored property|Assign values before return|Check all branches|Use compiler fix-its|Recompile
Classes & Structs,'self' used before all stored properties are initialized,You're trying to use the object before it's fully created.,Initialize all stored properties before using self.,Calling a method in init|Accessing a property too early|Passing self to another object|Observer registration|Closure captures self,Move code after initialization|Initialize all properties first|Avoid using self early|Simplify init|Retest
Classes & Structs,Must call a designated initializer of the superclass,A subclass initializer didn't initialize its superclass.,Call super.init(...) at the appropriate point.,Forgot super.init|Wrong initializer|Superclass changed|Incorrect initializer chain|Refactoring,Read superclass initializers|Call the correct super.init|Initialize subclass properties first if required|Rebuild|Test construction
Classes & Structs,Property 'self.X' not initialized at super.init call,A required property wasn't initialized before calling the superclass initializer.,Initialize required properties before super.init when Swift requires it.,Initialization order mistake|Added new property|Refactoring|Conditional initialization|Superclass requirements,Check initialization order|Assign every required property|Consult compiler notes|Rebuild|Test all initializers
Inheritance,Method does not override any method from its superclass,"You marked a method as override, but no matching superclass method exists.",Fix the method signature or remove override.,Parameter mismatch|Return type mismatch|Superclass API changed|Typo|Wrong superclass,Compare signatures exactly|Check parameter labels|Verify superclass|Use autocomplete|Remove override if unnecessary
Inheritance,Overriding non-open instance method outside of its defining module,The method isn't allowed to be overridden from another module.,Override only open methods or change the API.,Method is public not open|Framework restriction|Wrong design|API misunderstanding|Cross-module inheritance,Check access level|Read framework docs|Avoid overriding|Wrap instead|Rebuild
Inheritance,Instance method overrides a 'final' instance method,A final method cannot be overridden.,Remove the override or redesign the class hierarchy.,Superclass marked final|API change|Wrong superclass|Copy-paste|Refactoring,Inspect superclass|Remove override|Use composition instead|Review API|Compile again
Inheritance,Cannot inherit from non-open class outside of its defining module,The class isn't designed to be subclassed outside its module.,Don't subclass it or use another extension point.,Framework restriction|Public vs open confusion|API misunderstanding|Wrong base class|Library update,Check documentation|Use composition|Find an open superclass|Redesign|Retest
Protocols,Type 'X' does not conform to protocol 'Y',Your type is missing required methods or properties.,Implement all protocol requirements with matching signatures.,Forgot a method|Signature mismatch|Property missing|Access level mismatch|Associated type issue,Read protocol definition|Implement missing requirements|Match labels and types exactly|Check access levels|Rebuild
Protocols,Candidate has non-matching type,"A method exists, but its signature doesn't match the required one.",Change the signature to exactly match the requirement.,Wrong parameter labels|Wrong return type|Wrong optionality|Generic mismatch|Typo,Compare declarations side-by-side|Fix labels|Fix types|Remove extra parameters|Compile again
Protocols,Protocol can only be used as a generic constraint,The protocol has associated types or Self requirements.,Use generics or the 'any' keyword when appropriate.,Associated types|Self requirements|Modern Swift existential rules|Old sample code|Protocol design,Check whether 'any' works|Use generics|Read protocol definition|Refactor API|Retest
Protocols,Property does not satisfy protocol requirement,The property's type or mutability doesn't match the protocol.,Match the required type and getter/setter requirements.,Wrong type|Missing setter|Computed vs stored mismatch|Optional mismatch|Access level,Compare property declarations|Fix mutability|Fix type|Check access|Rebuild
Enums & Switch,Switch must be exhaustive,Your switch doesn't handle every possible case.,Add the missing cases or a default case.,New enum case|Forgot one case|Non-frozen enum|Refactoring|API update,List all enum cases|Add missing cases|Consider @unknown default|Retest|Review future compatibility
Enums & Switch,Default will never be executed,Earlier cases already cover every possibility.,Remove or simplify the default branch.,Redundant default|Duplicate patterns|Broad pattern first|Logic mistake|Compiler optimization,Review case order|Remove unreachable branches|Simplify patterns|Compile again|Test behavior
Enums & Switch,Case is already handled by previous patterns,A switch case can never match because an earlier one already does.,Remove or reorder the duplicate pattern.,Duplicate case|Broad wildcard|Pattern overlap|Copy-paste|Logic error,Inspect earlier cases|Remove duplicates|Reorder patterns|Retest|Check logic
Enums,Enum case cannot be used as an instance member,You're trying to access an enum case incorrectly.,Reference the enum case properly.,Forgot enum name|Static vs instance confusion|Dot syntax misuse|Scope issue|Typo,Check how enum cases are referenced|Use .case when allowed|Use Enum.case if needed|Review examples|Compile
Closures,"Contextual closure type expects X arguments, but Y were used",Your closure's parameter list doesn't match what's expected.,Match the expected number of parameters.,Wrong API|Copied example|Forgot shorthand arguments|Overload confusion|Autocomplete,Inspect the API|Check closure signature|Use autocomplete|Simplify expression|Retest
Closures,Cannot convert return expression of type X to closure result type Y,The closure returns the wrong type.,Return the expected type.,Wrong expression|Missing conversion|Incorrect generic inference|API misunderstanding|Copy-paste,Check expected return type|Add conversion|Simplify closure|Add explicit types|Compile
Closures,Escaping closure captures mutating 'self' parameter,A mutating value type can't be captured that way.,Redesign the closure or capture differently.,Mutating struct|Async closure|Escaping closure|Value semantics|API design,Understand capture rules|Avoid escaping capture|Refactor logic|Consider class vs struct|Retest
Collections,Index out of range,Your code accessed an array index that doesn't exist.,Check the index before accessing the array.,Loop bug|Empty array|Off-by-one error|Incorrect calculation|Removed elements,Print array.count|Validate indices|Use indices collection|Check loop bounds|Test empty arrays
Collections,Fatal error: Can't remove from an empty collection,You tried to remove an item from an empty collection.,Check that the collection isn't empty first.,Logic bug|Unexpected empty array|Race condition|Already removed|Initialization issue,Check isEmpty|Trace mutations|Add guards|Write edge-case tests|Debug collection state
Collections,Dictionary literal contains duplicate keys,The same key appears more than once in a dictionary literal.,Remove or change duplicate keys.,Copy-paste|Merge conflict|Generated code|Typo|Configuration duplication,Search for duplicate keys|Decide correct value|Remove extras|Retest|Review data source
Collections,Cannot assign through subscript: subscript is get-only,The collection or object doesn't allow modification.,Use a mutable collection or supported API.,Constant collection|Read-only property|Framework API|Wrong type|Immutable wrapper,Check whether it's let or var|Read API docs|Copy to mutable collection|Modify supported object|Compile again
Functions,"Function declares an opaque return type, but has no return statements",A function returning 'some Type' must always return a concrete type.,Return a valid value of one concrete type.,Incomplete implementation|Conditional returns|Placeholder code|Refactoring|SwiftUI View body issue,Ensure every path returns|Return the same concrete type|Simplify branches|Use AnyView only if appropriate|Retest
Functions,Result of call to X is unused,You called a function whose result is ignored.,Use the returned value or explicitly ignore it if intentional.,Forgot assignment|Forgot await|Forgot chaining|Incorrect API use|Debug code,Read function documentation|Store the result|Assign to _ if intentional|Review logic|Compile
Functions,Expression is unused,A line computes a value but does nothing with it.,"Use, assign, or remove the expression.",Leftover debug code|Forgot return|Forgot assignment|Incomplete refactor|Typo,Check whether you meant return|Assign result|Delete dead code|Review intent|Compile
Optionals,Initializer for conditional binding must have Optional type,You used if let or guard let on something that isn't optional.,Remove optional binding or make the value optional.,API changed|Wrong variable|Type confusion|Refactoring|Autocomplete,Inspect the variable type|Remove if let if unnecessary|Check API docs|Simplify code|Retest
Optionals,Cannot force unwrap value of non-optional type,You used ! on a value that isn't optional.,Remove the force unwrap.,Habit|Refactoring|API changed|Type inference|Copy-paste,Check the variable type|Delete !|Compile|Review API|Retest
Memory,EXC_BAD_ACCESS,Your program accessed memory that is no longer valid.,Find the invalid reference or memory misuse.,Dangling pointer|Unsafe code|Over-released object|C interop bug|Race condition,Enable Address Sanitizer|Inspect crash location|Check unsafe pointers|Review threading|Simplify reproduction
Memory,A strong reference cycle caused a memory leak,Objects keep each other alive forever.,Break the cycle with weak or unowned references where appropriate.,Closures capturing self|Delegate not weak|Parent-child cycle|Notification observer|Retained timer,Use Xcode Memory Graph|Inspect ownership|Add weak captures|Invalidate timers|Retest
Warnings,Initialization of immutable value was never used,A constant is created but never read.,Remove it or use it.,Leftover debug variable|Incomplete code|Refactoring|Copy-paste|Unused calculation,Search for references|Delete if unnecessary|Finish implementation|Enable warnings as errors|Clean build
Warnings,Variable was never mutated; consider changing to 'let',A variable never changes after being assigned.,Use let to make the intent clear.,Temporary implementation|Forgot optimization|Copy-paste|Refactoring|Style issue,Verify it never changes|Replace var with let|Run tests|Check compiler suggestions|Commit cleanup
Warnings,Will never be executed,The compiler proved that code cannot run.,Remove or rewrite the unreachable code.,Return before code|Always-false condition|Infinite loop|Throw before statement|Logic error,Inspect control flow|Delete unreachable code|Fix conditions|Simplify function|RetestCategory
Generics,Generic parameter 'T' could not be inferred,Swift couldn't determine what generic type to use.,Provide more type information or specify the generic type explicitly.,Empty collection literal|Overloaded API|Complex expression|Missing type annotation|Incorrect generic constraints,Inspect the expected type|Add an explicit type annotation|Break the expression into smaller parts|Read the function signature|Rebuild
Generics,Cannot specialize non-generic type,You tried to supply generic parameters to something that isn't generic.,Remove the generic arguments or use the correct generic type.,Wrong type name|Typo|Old documentation|API changed|Copy-paste,Verify the declaration|Remove <...> if unnecessary|Read the API docs|Use autocomplete|Compile again
Generics,Type 'X' does not conform to protocol 'Y',The generic type doesn't satisfy the required constraints.,Use a conforming type or add the required protocol conformance.,Wrong generic type|Missing protocol conformance|Constraint too strict|Incorrect inheritance|API mismatch,Read the generic constraints|Inspect the type|Add conformance if appropriate|Choose another type|Retest
Generics,Same-type requirement makes generic parameter non-generic,Your constraints effectively remove the benefit of generics.,Simplify the declaration or use a concrete type.,Overly restrictive where clause|Refactoring|Copied example|API misunderstanding|Redundant constraint,Review generic constraints|Remove unnecessary requirements|Simplify the API|Compile|Review intent
Generics,Reference to generic type requires arguments,The generic type needs one or more type parameters.,Provide the required generic arguments.,Forgot generic type|API update|Autocomplete omission|Typealias confusion|Refactoring,Inspect the declaration|Add the missing types|Use autocomplete|Read documentation|Compile
Error Handling,Errors thrown from here are not handled,A throwing function was called without handling its errors.,"Use try, try?, try!, or do-catch.",Forgot try|Refactoring|API changed|Autocomplete|Incomplete implementation,Locate the throwing call|Choose an error-handling strategy|Add do-catch if appropriate|Test failure paths|Compile
Error Handling,Call can throw but is not marked with 'try',Swift requires explicit acknowledgement of throwing calls.,Prefix the call with try.,Forgot try|API now throws|Wrong overload|Copied example|Refactoring,Read the function signature|Add try|Handle errors|Retest|Review compiler notes
Error Handling,No calls to throwing functions occur within 'try' expression,You wrote try where nothing can throw.,Remove the unnecessary try.,API changed|Wrong overload|Autocomplete|Refactoring|Old code,Verify whether the function throws|Remove try|Compile|Review API|Run tests
Error Handling,Thrown expression type does not conform to Error,Only Error-conforming values can be thrown.,Throw an Error type.,Throwing String|Throwing Int|Custom type missing Error conformance|Typo|Placeholder code,Create an Error enum|Conform custom type to Error|Replace placeholder|Compile|Test
Error Handling,'catch' block is unreachable,Nothing inside the do block can throw.,Remove the catch block or call a throwing function.,API changed|Removed throwing call|Wrong overload|Refactoring|Dead code,Check the do block|Remove unnecessary catch|Review APIs|Compile|Clean up
Concurrency,Expression is 'async' but is not marked with 'await',An asynchronous call wasn't awaited.,Prefix the call with await.,Forgot await|API became async|Refactoring|Autocomplete|Wrong overload,Inspect the function signature|Add await|Propagate async if needed|Compile|Test async behavior
Concurrency,'await' in a function that does not support concurrency,Only async functions can use await.,Mark the function async or restructure the code.,Forgot async|Moved code|Copied example|Refactoring|API misuse,Mark function async|Move await into async context|Use Task if appropriate|Compile|Retest
Concurrency,Call to main actor-isolated method in a synchronous context,You're accessing MainActor code from the wrong context.,Call it from the MainActor or use await.,UI update from background|Missing MainActor|Concurrency refactor|Task misuse|API isolation,Inspect actor annotations|Use await MainActor.run|Mark caller appropriately|Test threading|Compile
Concurrency,Actor-isolated property cannot be referenced from a nonisolated context,You're reading actor-protected state unsafely.,Access it through async actor isolation.,Actor misuse|Forgot await|Background access|Refactoring|Shared mutable state,Identify the actor|Await access|Redesign ownership|Compile|Test concurrency
Concurrency,Sending 'X' risks causing data races,Swift detected potentially unsafe shared data.,Avoid sharing mutable state or make it Sendable.,Mutable shared object|Non-Sendable type|Unsafe capture|Concurrent mutation|Legacy code,Inspect captured values|Adopt Sendable where appropriate|Avoid shared mutable state|Use actors|Run Thread Sanitizer
SwiftUI,Modifying state during view update,State changed while SwiftUI was rendering.,Move the state update outside body evaluation.,Mutating @State in body|Infinite update loop|onAppear misuse|Computed property side effect|Observer issue,Check body for mutations|Move work to callbacks|Use task/onAppear|Retest UI|Profile updates
SwiftUI,Publishing changes from background threads is not allowed,ObservableObject updated off the main thread.,Publish changes on the main actor.,Background network callback|Task misuse|Dispatch queue mistake|Missing MainActor|Concurrency bug,Dispatch to MainActor|Inspect publishers|Test threading|Review async code|Compile
SwiftUI,ForEach requires that data conform to Identifiable,SwiftUI can't uniquely identify your items.,Make items Identifiable or provide an id parameter.,Plain array|Missing id|Duplicate IDs|API misuse|Refactoring,Conform to Identifiable|Use id: \\.|Ensure IDs are unique|Retest lists|Review data model
SwiftUI,Duplicate ID in ForEach,Multiple items have the same identifier.,Ensure every displayed item has a unique ID.,Duplicate UUID|Repeated values|Wrong id property|Static IDs|Data bug,Print IDs|Find duplicates|Generate unique IDs|Retest scrolling|Review model
SwiftUI,Type '()' cannot conform to 'View',A ViewBuilder branch returned nothing.,Return a View from every branch.,Forgot return|Conditional branch|Debug print|Incomplete code|ViewBuilder misunderstanding,Check every branch|Return EmptyView if needed|Remove stray statements|Compile|Preview
Build,No such module 'X',The compiler can't find the imported framework.,"Install, link, or correctly reference the module.",Package missing|Wrong target|Dependency not added|Typo|Build settings,Check Package Dependencies|Verify target membership|Clean build|Restore packages|Rebuild
Build,Failed to emit module,Compilation failed before Swift could build the module.,Fix earlier compiler errors.,Earlier syntax errors|Type errors|Dependency issues|Corrupted build|Compiler bug,Fix the first compiler error|Clean build folder|Delete DerivedData if needed|Rebuild|Inspect logs
Build,Command CompileSwift failed with a nonzero exit code,Swift compilation failed.,Resolve the compiler errors reported above.,Syntax errors|Type errors|Build configuration|Dependency issue|Compiler crash,Scroll to the first error|Ignore cascading errors initially|Clean build|Rebuild|Check build settings
Build,Build input file cannot be found,A source file referenced by the project is missing.,Restore or remove the missing file reference.,Deleted file|Moved file|Merge conflict|Wrong path|Target issue,Locate the file|Fix project references|Remove stale references|Clean build|Commit changes
Build,Multiple commands produce,Two build steps generate the same output.,Remove the duplicate build phase or resource.,Duplicate file|Duplicate asset|Copy phase issue|Merge conflict|Package duplication,Inspect Build Phases|Remove duplicates|Check target membership|Clean build|Rebuild
Linker,Undefined symbols for architecture,The linker can't find the implementation of a referenced symbol.,Link the required library or implement the missing code.,Missing framework|Missing implementation|Wrong target|Objective-C bridging|Build configuration,Read missing symbol names|Check linked frameworks|Verify target membership|Clean build|Relink
Linker,Duplicate symbol,The same symbol was compiled more than once.,Remove the duplicate implementation.,Copied source file|Duplicate library|Generated code|Merge conflict|Build phase duplication,Search for duplicates|Check target membership|Remove duplicate source|Clean build|Relink
Linker,Library not found,The linker couldn't locate a required library.,Install or correctly reference the library.,Missing SDK|Broken search path|Dependency removed|Configuration issue|Package failure,Inspect Library Search Paths|Restore dependency|Update project settings|Clean build|Rebuild
Runtime,Fatal error,The program intentionally terminated because an unrecoverable condition occurred.,Read the accompanying message and fix the underlying issue.,Force unwrap|Precondition failure|Index out of range|Assertion|Custom fatalError,Read the full crash message|Inspect the stack trace|Find the triggering condition|Add validation|Retest
Runtime,Assertion failed,An assertion detected invalid program state.,Fix the violated assumption.,Invalid input|Logic bug|Debug assertion|State corruption|Precondition failure,Read assertion message|Inspect variables|Reproduce consistently|Fix logic|Run tests
Runtime,Stack overflow,Functions kept calling each other until the stack filled.,Stop infinite recursion.,Missing base case|Recursive cycle|Mutual recursion|Logic bug|Parser recursion,Trace recursive calls|Verify base cases|Limit recursion depth|Consider iteration|Retest
Runtime,Infinite loop,Code never reaches an exit condition.,Correct the loop condition or update loop variables.,Condition never changes|Missing increment|Logic bug|Always-true condition|State mutation bug,Add logging|Inspect loop variables|Verify exit condition|Use debugger|Test edge cases
Performance,String concatenation in a loop,Repeatedly using + on strings can be slow.,Use StringBuilder-style approaches or interpolation efficiently.,Large loops|Logging|Text generation|CSV building|Copy-paste,Profile the code|Use String.reserveCapacity if appropriate|Append instead of repeatedly creating new strings|Benchmark|Retest
Performance,Repeated sorting of the same collection,The same data is sorted multiple times unnecessarily.,Sort once and reuse the result.,Loop sorting|Computed property|Redundant code|UI refresh|Refactoring,Search for repeated sort() calls|Cache results|Measure performance|Simplify logic|Profile
Performance,Linear search where Set or Dictionary would be faster,Repeated contains() on large arrays can be inefficient.,Use Set or Dictionary for frequent lookups.,Large data|Loop contains()|Membership testing|Refactoring|Algorithm choice,Measure lookup frequency|Replace with Set if appropriate|Benchmark|Review algorithm complexity|Profile
Performance,Heavy work on the main thread,Expensive work blocks the UI.,Move work to a background task when appropriate.,Image processing|JSON parsing|Database queries|Large loops|Network misuse,Use Instruments|Identify slow operations|Move work off main thread|Return to MainActor for UI|Measure improvements
Performance,Large value copied repeatedly,Large structs or arrays are copied frequently.,Reduce unnecessary copies or redesign data flow.,Pass-by-value|Temporary arrays|Function chaining|Large structs|Copy-on-write misunderstanding,Profile allocations|Inspect copies|Use inout where appropriate|Simplify data flow|BenchmarkCategory
Optionals,Optional chain has no effect because value is non-optional,You're using ? on something that can't be nil.,Remove the unnecessary optional chaining.,API changed|Refactoring|Type inference|Copied code|Autocomplete,Inspect the variable type|Remove ?|Compile|Review API|Run tests
Optionals,Cannot use optional chaining on non-optional value,"The value is guaranteed to exist, so optional chaining isn't valid.",Access the property or method directly.,Incorrect assumption|API changed|Wrong variable|Refactoring|Copy-paste,Check the declaration|Remove ?|Verify type|Compile|Retest
Optionals,Nil coalescing operator '??' has incompatible types,The fallback value doesn't match the optional's type.,Provide a fallback value of the correct type.,Wrong literal|API mismatch|Refactoring|Generic inference|Copy-paste,Inspect both operand types|Convert if necessary|Use explicit typing|Compile|Test
Optionals,Value of optional type must be unwrapped to refer to member,You're trying to use a property or method on a value that could be nil.,Safely unwrap the optional or use optional chaining.,Optional return value|Dictionary lookup|Weak reference|IBOutlet|Forgot if let,Find where the optional comes from|Use if let or guard let|Consider ??|Avoid force unwraps|Retest
Functions,Cannot pass immutable value as inout argument,"The function wants permission to modify the value, but it can't.",Pass a mutable variable instead of a constant or temporary value.,Using let|Passing a literal|Computed property|Temporary expression|API misuse,Use var instead of let|Pass a stored variable|Read function signature|Compile|Test
Functions,Escaping closure captures non-escaping parameter,A closure that outlives the function captured something that won't.,Mark the parameter as @escaping if appropriate or redesign.,Missing @escaping|API change|Closure stored|Async code|Refactoring,Inspect parameter attributes|Add @escaping if correct|Review ownership|Compile|Test
Functions,Cannot convert throwing function to non-throwing function type,A throwing closure is being used where errors aren't allowed.,Handle the error or change the function type.,Forgot do-catch|API mismatch|Generic inference|Wrong overload|Refactoring,Inspect expected closure type|Handle errors internally|Choose correct overload|Compile|Retest
Functions,Anonymous closure argument not contained in a closure,"You used $0, $1, etc. outside of a closure.",Use shorthand arguments only inside closures.,Copied code|Syntax error|Refactoring|Autocomplete|Misplaced braces,Check brace placement|Replace with named parameter if needed|Compile|Retest|Review syntax
Properties,Cannot assign to property: 'self' is immutable,You're trying to change a value inside an immutable struct or context.,Make the method mutating or use a mutable instance.,Struct method missing mutating|Using let instance|SwiftUI View|Value semantics|Refactoring,Inspect mutability|Add mutating if appropriate|Use var instance|Review design|Compile
Properties,Cannot use mutating member on immutable value,A mutating method was called on something declared with let.,Declare it with var if mutation is intended.,let instead of var|Temporary value|Computed property|Constant binding|API misuse,Find declaration|Replace let with var if appropriate|Compile|Retest|Review ownership
Properties,Cannot assign to property: setter is inaccessible,The property's setter isn't visible from your code.,Use a writable API or change access control.,private(set)|Framework restriction|Wrong module|API misunderstanding|Access control,Read property declaration|Use provided methods|Adjust access if your code|Compile|Retest
Access Control,'X' is inaccessible due to 'private' protection level,The symbol exists but isn't visible from here.,Use a visible API or change the access level.,private declaration|Wrong file|Refactoring|Module boundary|API design,Inspect declaration|Adjust access if appropriate|Use public API|Compile|Review encapsulation
Access Control,'X' is inaccessible due to 'fileprivate' protection level,The symbol is only available within its file.,Move code or adjust access.,fileprivate restriction|Wrong file|Refactoring|Extension separation|API design,Check file boundaries|Adjust access|Move related code|Compile|Retest
Access Control,Method cannot be declared public because its parameter uses an internal type,A public API can't expose less-visible types.,Increase the visibility of the type or reduce the API visibility.,Access mismatch|Refactoring|Library design|Nested types|Copy-paste,Compare access levels|Adjust consistently|Review public API|Compile|Retest
Extensions,Extensions must not contain stored properties,Swift extensions can only add computed properties.,Move the stored property into the original type.,Language rule|Refactoring|Copied code|Objective-C assumption|Design issue,Find the extension|Move property|Use associated objects only if appropriate|Compile|Review design
